tile_int,tile_vector,n_tiles,n_triplets,n_pairs,n_koritsu,n_terminals,n_ways
11133355577,3030302,11,3,1,0,4,384
11133355666,3030230,11,3,1,0,4,384
11133355667,3030221,11,2,2,1,5,2304
11133355677,3030212,11,2,2,1,5,2304
11133355777,3030203,11,3,1,0,4,384
11133356666,3030140,11,3,0,2,4,64
11133356667,3030131,11,3,0,2,5,1024
11133356677,3030122,11,2,2,1,5,2304
11133356777,3030113,11,3,0,2,5,1024
11133357777,3030104,11,3,0,2,4,64
11133366667,3030041,11,3,0,2,4,64
11133366677,3030032,11,3,1,0,4,384
11133366777,3030023,11,3,1,0,4,384
11133367777,3030014,11,3,0,2,4,64
11133444455,3024200,11,2,2,1,4,144
11133444456,3024110,11,2,1,3,5,384
11133444457,3024101,11,2,1,3,5,384
11133444466,3024020,11,2,2,1,4,144
11133444467,3024011,11,2,1,3,5,384
11133444477,3024002,11,2,2,1,4,144
11133444555,3023300,11,3,1,0,4,384
11133444556,3023210,11,2,2,1,5,2304
11133444557,3023201,11,2,2,1,5,2304
11133444566,3023120,11,2,2,1,5,2304
11133444567,3023111,11,2,1,3,6,6144
11133444577,3023102,11,2,2,1,5,2304
11133444666,3023030,11,3,1,0,4,384
11133444667,3023021,11,2,2,1,5,2304
11133444677,3023012,11,2,2,1,5,2304
11133444777,3023003,11,3,1,0,4,384
11133445555,3022400,11,2,2,1,4,144
11133445556,3022310,11,2,2,1,5,2304
11133445557,3022301,11,2,2,1,5,2304
11133445566,3022220,11,1,4,0,5,5184
11133445567,3022211,11,1,3,2,6,13824
11133445577,3022202,11,1,4,0,5,5184
11133445666,3022130,11,2,2,1,5,2304
11133445667,3022121,11,1,3,2,6,13824
11133445677,3022112,11,1,3,2,6,13824
11133445777,3022103,11,2,2,1,5,2304
11133446666,3022040,11,2,2,1,4,144
11133446667,3022031,11,2,2,1,5,2304
11133446677,3022022,11,1,4,0,5,5184
11133446777,3022013,11,2,2,1,5,2304
11133447777,3022004,11,2,2,1,4,144
11133455556,3021410,11,2,1,3,5,384
11133455557,3021401,11,2,1,3,5,384
11133455566,3021320,11,2,2,1,5,2304
11133455567,3021311,11,2,1,3,6,6144
11133455577,3021302,11,2,2,1,5,2304
11133455666,3021230,11,2,2,1,5,2304
11133455667,3021221,11,1,3,2,6,13824
11133455677,3021212,11,1,3,2,6,13824
11133455777,3021203,11,2,2,1,5,2304
11133456666,3021140,11,2,1,3,5,384
11133456667,3021131,11,2,1,3,6,6144
11133456677,3021122,11,1,3,2,6,13824
11133456777,3021113,11,2,1,3,6,6144
11133457777,3021104,11,2,1,3,5,384
11133466667,3021041,11,2,1,3,5,384
11133466677,3021032,11,2,2,1,5,2304
11133466777,3021023,11,2,2,1,5,2304
11133467777,3021014,11,2,1,3,5,384
11133555566,3020420,11,2,2,1,4,144
11133555567,3020411,11,2,1,3,5,384
11133555577,3020402,11,2,2,1,4,144
11133555666,3020330,11,3,1,0,4,384
11133555667,3020321,11,2,2,1,5,2304
11133555677,3020312,11,2,2,1,5,2304
11133555777,3020303,11,3,1,0,4,384
11133556666,3020240,11,2,2,1,4,144
11133556667,3020231,11,2,2,1,5,2304
11133556677,3020222,11,1,4,0,5,5184
11133556777,3020213,11,2,2,1,5,2304
11133557777,3020204,11,2,2,1,4,144
11133566667,3020141,11,2,1,3,5,384
11133566677,3020132,11,2,2,1,5,2304
11133566777,3020123,11,2,2,1,5,2304
11133567777,3020114,11,2,1,3,5,384
11133666677,3020042,11,2,2,1,4,144
11133666777,3020033,11,3,1,0,4,384
11133667777,3020024,11,2,2,1,4,144
11134444555,3014300,11,3,0,2,4,64
11134444556,3014210,11,2,1,3,5,384
11134444557,3014201,11,2,1,3,5,384
11134444566,3014120,11,2,1,3,5,384
11134444567,3014111,11,2,0,5,6,1024
11134444577,3014102,11,2,1,3,5,384
11134444666,3014030,11,3,0,2,4,64
11134444667,3014021,11,2,1,3,5,384
11134444677,3014012,11,2,1,3,5,384
11134444777,3014003,11,3,0,2,4,64
11134445555,3013400,11,3,0,2,4,64
11134445556,3013310,11,3,0,2,5,1024
11134445557,3013301,11,3,0,2,5,1024
11134445566,3013220,11,2,2,1,5,2304
11134445567,3013211,11,2,1,3,6,6144
11134445577,3013202,11,2,2,1,5,2304
11134445666,3013130,11,3,0,2,5,1024
11134445667,3013121,11,2,1,3,6,6144
11134445677,3013112,11,2,1,3,6,6144
11134445777,3013103,11,3,0,2,5,1024
11134446666,3013040,11,3,0,2,4,64
11134446667,3013031,11,3,0,2,5,1024
11134446677,3013022,11,2,2,1,5,2304
11134446777,3013013,11,3,0,2,5,1024
11134447777,3013004,11,3,0,2,4,64
11134455556,3012410,11,2,1,3,5,384
11134455557,3012401,11,2,1,3,5,384
11134455566,3012320,11,2,2,1,5,2304
11134455567,3012311,11,2,1,3,6,6144
11134455577,3012302,11,2,2,1,5,2304
11134455666,3012230,11,2,2,1,5,2304
11134455667,3012221,11,1,3,2,6,13824
11134455677,3012212,11,1,3,2,6,13824
11134455777,3012203,11,2,2,1,5,2304
11134456666,3012140,11,2,1,3,5,384
11134456667,3012131,11,2,1,3,6,6144
11134456677,3012122,11,1,3,2,6,13824
11134456777,3012113,11,2,1,3,6,6144
11134457777,3012104,11,2,1,3,5,384
11134466667,3012041,11,2,1,3,5,384
11134466677,3012032,11,2,2,1,5,2304
11134466777,3012023,11,2,2,1,5,2304
11134467777,3012014,11,2,1,3,5,384
11134555566,3011420,11,2,1,3,5,384
11134555567,3011411,11,2,0,5,6,1024
11134555577,3011402,11,2,1,3,5,384
11134555666,3011330,11,3,0,2,5,1024
11134555667,3011321,11,2,1,3,6,6144
11134555677,3011312,11,2,1,3,6,6144
11134555777,3011303,11,3,0,2,5,1024
11134556666,3011240,11,2,1,3,5,384
11134556667,3011231,11,2,1,3,6,6144
11134556677,3011222,11,1,3,2,6,13824
11134556777,3011213,11,2,1,3,6,6144
